Date,Time,CPU Temp,CPU Load,Total Mem,Free Mem,Used Mem
13-10-2021,16:10:29,82.2,72.4667,895008,618476,276532
13-10-2021,16:10:30,81.7,72.5171,895008,618408,276600
13-10-2021,16:10:31,82.2,72.5585,895008,616860,278148
13-10-2021,16:10:32,82.2,72.6053,895008,617776,277232
13-10-2021,16:10:33,82.2,72.6711,895008,616924,278084
13-10-2021,16:10:34,82.7,72.7175,895008,617992,277016
13-10-2021,16:10:35,82.2,72.7637,895008,617572,277436
13-10-2021,16:10:36,81.7,72.7799,895008,618808,276200
13-10-2021,16:10:38,82.2,72.7972,895008,617364,277644
13-10-2021,16:10:39,81.7,72.8213,895008,618260,276748
13-10-2021,16:10:40,82.2,72.8441,895008,617688,277320
13-10-2021,16:10:41,82.2,72.8891,895008,617684,277324
13-10-2021,16:10:42,82.2,72.9376,895008,618104,276904
13-10-2021,16:10:43,81.7,72.9481,895008,617788,277220
13-10-2021,16:10:44,81.7,72.9661,895008,617568,277440
13-10-2021,16:10:45,82.2,73.0245,895008,617936,277072
13-10-2021,16:10:46,81.7,73.0461,895008,618900,276108
13-10-2021,16:10:47,82.2,73.0642,895008,616664,278344
13-10-2021,16:10:49,82.2,73.1083,895008,618312,276696
13-10-2021,16:10:50,82.7,73.1843,895008,615332,279676
13-10-2021,16:10:51,82.7,73.2413,895008,617632,277376
13-10-2021,16:10:52,81.7,73.2741,895008,617460,277548
13-10-2021,16:10:53,81.7,73.2858,895008,617876,277132
13-10-2021,16:10:54,82.2,73.3091,895008,616952,278056
13-10-2021,16:10:55,81.7,73.337,895008,617360,277648
13-10-2021,16:10:56,81.7,73.3549,895008,619328,275680
13-10-2021,16:10:57,81.7,73.3761,895008,616880,278128
13-10-2021,16:10:58,82.2,73.3917,895008,619144,275864
13-10-2021,16:11:00,82.2,73.4252,895008,616920,278088
13-10-2021,16:11:01,82.2,73.4601,895008,617536,277472
13-10-2021,16:11:02,82.2,73.483,895008,617940,277068
13-10-2021,16:11:03,82.2,73.4987,895008,616844,278164
13-10-2021,16:11:04,81.7,73.5328,895008,617768,277240
13-10-2021,16:11:05,81.7,73.557,895008,618164,276844
13-10-2021,16:11:06,82.7,73.5835,895008,618664,276344
13-10-2021,16:11:07,82.7,73.5981,895008,618856,276152
13-10-2021,16:11:08,82.7,73.6313,895008,617420,277588
13-10-2021,16:11:10,82.2,73.6523,895008,617064,277944
13-10-2021,16:11:11,82.2,73.6698,895008,617200,277808
13-10-2021,16:11:12,82.2,73.6925,895008,617836,277172
13-10-2021,16:11:13,82.7,73.7174,895008,616592,278416
13-10-2021,16:11:14,82.7,73.7511,895008,616992,278016
13-10-2021,16:11:15,82.7,73.7847,895008,616808,278200
13-10-2021,16:11:16,82.7,73.8128,895008,617032,277976
13-10-2021,16:11:17,82.7,73.8304,895008,618184,276824
13-10-2021,16:11:18,82.7,73.8523,895008,618608,276400
13-10-2021,16:11:19,82.7,73.8541,895008,617352,277656
13-10-2021,16:11:21,82.7,73.8809,895008,617512,277496
13-10-2021,16:11:22,82.2,73.9094,895008,616896,278112
13-10-2021,16:11:23,82.2,73.9242,895008,617224,277784
13-10-2021,16:11:24,82.2,73.9431,895008,617160,277848
13-10-2021,16:11:25,82.7,73.9676,895008,617296,277712
13-10-2021,16:11:26,82.2,74.0026,895008,617088,277920
13-10-2021,16:11:27,82.2,74.0414,895008,618132,276876
13-10-2021,16:11:28,82.2,74.0695,895008,617176,277832
13-10-2021,16:11:29,82.7,74.1109,895008,618116,276892
13-10-2021,16:11:30,82.2,74.1428,895008,618244,276764
13-10-2021,16:11:32,82.7,74.1664,895008,616328,278680
13-10-2021,16:11:33,81.7,74.1853,895008,617572,277436
13-10-2021,16:11:34,82.7,74.2079,895008,617668,277340
13-10-2021,16:11:35,82.7,74.2213,895008,617604,277404
13-10-2021,16:11:36,82.7,74.2527,895008,618804,276204
13-10-2021,16:11:37,82.2,74.2709,895008,617604,277404
13-10-2021,16:11:38,82.2,74.3006,895008,616632,278376
13-10-2021,16:11:39,82.7,74.3394,895008,616556,278452
13-10-2021,16:11:40,82.7,74.369,895008,616796,278212
13-10-2021,16:11:41,82.2,74.3728,895008,618968,276040
13-10-2021,16:11:43,82.2,74.3872,895008,618252,276756
13-10-2021,16:11:44,82.7,74.4141,895008,616864,278144
13-10-2021,16:11:45,82.7,74.429,895008,619092,275916
13-10-2021,16:11:46,82.2,74.4413,895008,616560,278448
13-10-2021,16:11:47,82.7,74.466,895008,617440,277568
13-10-2021,16:11:48,82.7,74.4814,895008,617684,277324
13-10-2021,16:11:49,82.7,74.5042,895008,616776,278232
13-10-2021,16:11:50,82.2,74.5643,895008,617108,277900
13-10-2021,16:11:51,82.2,74.5839,895008,616460,278548
13-10-2021,16:11:53,82.7,74.6262,895008,617644,277364
13-10-2021,16:11:54,82.7,74.661,895008,616604,278404
13-10-2021,16:11:55,82.7,74.675,895008,617528,277480
13-10-2021,16:11:56,82.2,74.7005,895008,618644,276364
13-10-2021,16:11:57,82.7,74.7258,895008,617412,277596
13-10-2021,16:11:58,82.7,74.7512,895008,617200,277808
13-10-2021,16:11:59,82.7,74.7853,895008,616508,278500
13-10-2021,16:12:00,82.7,74.7962,895008,617120,277888
13-10-2021,16:12:01,82.7,74.8168,895008,617788,277220
13-10-2021,16:12:02,82.7,74.8267,895008,616640,278368
13-10-2021,16:12:04,82.7,74.8419,895008,617448,277560
13-10-2021,16:12:05,82.7,74.8623,895008,616540,278468
13-10-2021,16:12:06,82.7,74.8766,895008,617708,277300
13-10-2021,16:12:07,82.7,74.8885,895008,618296,276712
13-10-2021,16:12:08,82.7,74.9089,895008,618304,276704
13-10-2021,16:12:09,82.7,74.9236,895008,617436,277572
13-10-2021,16:12:10,82.7,74.968,895008,618188,276820
13-10-2021,16:12:11,82.7,74.9972,895008,618332,276676
13-10-2021,16:12:12,82.7,75.028,895008,617500,277508
13-10-2021,16:12:13,82.7,75.066,895008,617504,277504
13-10-2021,16:12:15,82.7,75.0853,895008,616332,278676
13-10-2021,16:12:16,82.7,75.1118,895008,618076,276932
13-10-2021,16:12:17,82.7,75.1417,895008,616836,278172
13-10-2021,16:12:18,82.7,75.1484,895008,616860,278148
13-10-2021,16:12:19,82.7,75.1568,895008,617452,277556
13-10-2021,16:12:20,82.2,75.174,895008,616352,278656
13-10-2021,16:12:21,82.7,75.1881,895008,617224,277784
13-10-2021,16:12:22,82.7,75.2069,895008,618300,276708
13-10-2021,16:12:23,82.7,75.2137,895008,617116,277892
13-10-2021,16:12:24,82.7,75.2361,895008,616292,278716
